code_dep,departement,nom,slug,commune_depart,justification,niveau_souhaite,difficulte,denivele_positif_m,distance_km,duree_estimee,point_depart_precis,parking_info,url_trace,gpx_url,lat_depart,lng_depart
25,Doubs,Tour du Monniot,tour-du-monniot,Myon,,modere,T2,~340,9.7,3h33,,,,,47.01633635,5.94745905
05,Hautes-Alpes,Eldorado ! Le col du Charnier,eldorado--le-col-du-charnier,Le Dévoluy,,difficile,T3,957,16,7h11,,,,,44.7016689,5.84711135
05,Hautes-Alpes,Le Luzet,le-luzet,La Haute-Beaume,,modere,T2,380,8,3h16,,,,,44.5772757,5.6234462
26,Drôme,Le Duffre,le-duffre,Valdrôme,,difficile,T3,927,15,6h50,,,,,44.470379199999996,5.5883313999999995
26,Drôme,L'Hostunoise,lhostunoise,Hostun,,facile,T1,230,6,2h16,,,,,45.037043,5.20829265
26,Drôme,Adret de Bluye,adret-de-bluye,Mollans-sur-Ouvèze,,modere,T2,~350,10,3h40,,,,,44.23085545,5.20775995
26,Drôme,Sentier d'interprétation du karst,sentier-dinterpretation-du-karst,Bouvante,,facile,T1,~161,4.6,1h41,,,,,44.8918818,5.3236206500000005
84,Vaucluse,Bornes Papales,bornes-papales,Valréas,,facile,T1,~200,10,3h10,,,,,44.36941575,5.0415329
05,Hautes-Alpes,Le Serre du Charron,le-serre-du-charron,La Piarre,,modere,T2,655,12,5h11,,,,,44.49345825,5.64626445
26,Drôme,Crête de Bluye,crete-de-bluye,Mollans-sur-Ouvèze,,facile,T1,~280,8,2h56,,,,,44.22700155,5.2105376
26,Drôme,Bel-Air,bel-air,Mollans-sur-Ouvèze,,facile,T1,~298,8.5,3h07,,,,,44.24629625,5.1896481
29,Finistère,La Tourbière de Langazel,la-tourbiere-de-langazel,Trémaouézan,,facile,T1,20,9,2h19,,,,,48.50801075,-4.26826025
29,Finistère,Tro Brec’horay,tro-brechoray,Coray,,facile,T1,~298,8.5,3h07,,,,,48.0699467,-3.8365197
29,Finistère,Sentiers des Moulins,sentiers-des-moulins,Plouzévédé,,facile,T1,221,12,3h44,,,,,48.5935178,-4.0928553
29,Finistère,Le circuit des korrigans,le-circuit-des-korrigans,Beuzec-Cap-Sizun,,facile,T1,~180,9,2h51,,,,,48.0885279,-4.46420805
29,Finistère,Boucle du Vanneg,boucle-du-vanneg,Henvic,,modere,T2,446,9.4,3h50,,,,,48.641756,-3.9392406
29,Finistère,Rand'Abers 11,randabers-11,Plouvien,,modere,T2,~595,17,6h14,,,,,48.53679125,-4.46922165
29,Finistère,sentier de l'allée couverte,sentier-de-lallee-couverte,Saint-Goazec,,modere,T2,~333,9.5,3h29,,,,,48.1346336,-3.72959815
30,Gard,Fontfouillouse,fontfouillouse,Les Plantiers,,modere,T2,751,14.2,6h03,,,,,44.1198971,3.6995819
30,Gard,Sur la route des Rutènes,sur-la-route-des-rutenes,Molières-Cavaillac,,modere,T2,502,10.1,4h12,,,,,43.9822888,3.5612658
30,Gard,Camprieu,camprieu,Saint-Sauveur-Camprieu,,modere,T2,574,16.7,6h05,,,,,44.0987908,3.45895965
30,Gard,Château de Montalet,chateau-de-montalet,Gammal,,modere,T2,364,9.6,3h37,,,,,44.25984655,4.16385715
30,Gard,D'un Gardon à l'autre,dun-gardon-a-lautre,Saint-Jean-du-Gard,,modere,T2,560,8.7,4h02,,,,,44.1173981,3.87836365
30,Gard,Le gué d'Hiverne,le-gue-dhiverne,Sénéchas,,modere,T2,568,12.4,4h60,,,,,44.358638150000004,4.001325
30,Gard,Le roc troué,le-roc-troue,Soustelle,,modere,T2,546,10,4h19,,,,,44.178799049999995,3.988176
31,Haute-Garonne,"Lac Vert, Boucle par l'Est",lac-vert-boucle-par-lest,Castillon-de-Larboust,,facile,T1,~256,7.3,2h41,,,,,42.72348765,0.5681942
31,Haute-Garonne,Sentier d'interprétation,sentier-dinterpretation,Arbas,,facile,T1,~70,3.5,1h07,,,,,42.9899669,0.8842256
31,Haute-Garonne,En passant par les Agals,en-passant-par-les-agals,Gardouch,,facile,T1,~245,7,2h34,,,,,43.391815550000004,1.68570025
31,Haute-Garonne,La Forestière,la-forestiere,Bagnères-de-Luchon,,facile,T1,~189,5.4,1h59,,,,,42.76757885,0.5830769499999999
33,Gironde,La boucle de Talais par le port,la-boucle-de-talais-par-le-port,Talais,,facile,T1,~214,6.1,2h14,,,,,45.47906305,-1.0575982499999999
33,Gironde,Boucle du Moulin d'Auros,boucle-du-moulin-dauros,Auros,,facile,T1,~205,10.2,3h14,,,,,44.4994468,-0.16402335
33,Gironde,Étape 3 • Chemin d'Amadour,etape-3--chemin-damadour,Saint-Seurin-de-Cadourne,,difficile,T3,~1183,21.5,9h19,,,,,45.278701749999996,-0.7836132499999999
34,Hérault,Le Vialaïs,le-vialais,Rosis,,modere,T2,~455,13,4h46,,,,,43.62014405,2.9635484500000002
34,Hérault,Sentier de l'Escalège,sentier-de-lescalege,Claret,,facile,T1,~140,4,1h28,,,,,43.86439125,3.9122206000000004
34,Hérault,Le Sommet du Caroux,le-sommet-du-caroux,Rosis,,facile,T1,~280,8,2h56,,,,,43.60056865,2.9811714
37,Indre-et-Loire,Sentier Saint Georges - Rochecorbon,sentier-saint-georges---rochecorbon,Rochecorbon,,facile,T1,291,13.7,4h24,,,,,47.4174405,0.74629505
37,Indre-et-Loire,Les Lavandières - Artannes-sur-Indre,les-lavandieres---artannes-sur-indre,Artannes-sur-Indre,,facile,T1,210,14.8,4h24,,,,,47.26023955,0.6096267
37,Indre-et-Loire,"La Fayette dans la Vallée de l'Indre - Reignac-sur-Indre, Azay-sur-Indre",la-fayette-dans-la-vallee-de-lindre---reignac-sur-indre-azay-sur-indre,Reignac-sur-Indre,,facile,T1,98,14.2,3h53,,,,,47.22134355,0.9257646500000001
38,Isère,La Tour de Revel (par le Mollard),la-tour-de-revel-par-le-mollard,Revel,,modere,T2,400,7,3h05,,,,,45.20175535,5.8566011499999995
38,Isère,Les chemins du patrimoine de Méaudre,les-chemins-du-patrimoine-de-meaudre,Méaudre,,facile,T1,~242,6.9,2h32,,,,,45.128438599999996,5.5304062
38,Isère,Randonnée des Hameaux,randonnee-des-hameaux,Saint-Maximin,,facile,T1,~172,4.9,1h48,,,,,45.430249700000005,6.0428046
38,Isère,Balcon de Combeloup,balcon-de-combeloup,Saint-Martin-d'Uriage,,modere,T2,400,11,4h05,,,,,45.1710046,5.8332709000000005
38,Isère,Le Tour de Montrond,le-tour-de-montrond,Saint-Martin-d'Uriage,,facile,T1,290,8.1,2h60,,,,,45.16344355,5.8671005
